what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353009543
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353016519
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1297353025521
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1297353045698
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353060673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353064034
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353069007
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353069308
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353080204
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353081067
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353082437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353082883
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1297353083203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353083609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353127206
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1297353128576
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1297353128776
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1297353134305
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353138896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353140325
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353143508
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353144309
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353146791
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353147452
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353150244
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353150893
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1297353159899
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353160368
