what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229672540975
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229672841588
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229673301546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229673302803
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229673972244
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1229673977066
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229673979204
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229673983440
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229673984576
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229673988590
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229673990079
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1229673992213
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229673998479
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229673998936
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229673999330
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1229673999569
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1229674011746
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1229674022646
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229674024899
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1229674034330
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229674037314
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229674106579
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229674109400
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1229674135431
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1229674162472
