what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229662260443
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229662262263
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229662264117
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229662266322
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229662301436
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1229662303787
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229662304006
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1229662310452
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229662338999
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1229662352160
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1229662355134
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229662386496
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229662397070
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229662399686
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229662401383
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229662403412
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229662406976
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229662411893
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229662414212
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229662415936
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1229662420443
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229662434967
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229662436269
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1229662439751
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1229662440137
