what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1229674896988
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.textStart,1229674899663
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229674902033
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229674902448
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229674904633
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229675048809
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1229675054632
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229675077024
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229675356493
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1229675358383
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1229675360592
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1229675362733
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1229675379273
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1229675387394
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229675388588
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229675424503
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1229675426190
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1229675452925
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229675482583
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229675484651
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1229675485397
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229675507675
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229675507675
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.close,1229675507707
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1229675510164
