what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229738007812
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229738009370
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738020455
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738229218
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1229738236590
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738265348
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738326842
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738408640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738425963
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738428800
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738477361
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738494686
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738626574
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738629808
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738641643
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.help.aboutAction,1229738641796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738685851
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738805259
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229738807149
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738865431
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738925111
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1229738929265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738945305
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229738975987
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229739416451
