what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229681124899
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229681426251
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229681558976
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229681560461
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229681789687
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1229681803637
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229681927078
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1229681931720
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229682500734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229682668477
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229682671234
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229683068840
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229683112449
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229683386851
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229683417830
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229683596464
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229683722760
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1229683724677
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229684026198
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229684095778
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1229684099655
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1229684099656
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229684100423
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1229684101050
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1229684101053
