what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1229675966731
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1229675977371
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1229675980923
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1229675991518
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1229675991887
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1229675998755
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229676017140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229677226235
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1229677232313
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1229677247978
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229677254711
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229677275074
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229677277726
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1229677283694
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229677301880
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1229677302350
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1229677306957
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1229677309796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229677408521
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229677410793
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229677412353
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229677413343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229677415792
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229677421151
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229677433426
