what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229661851543
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229661854552
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229661857589
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229661858886
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1229661860021
started,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1229661860154
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1229661861341
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1229661862422
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1229661870709
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1229661873335
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1229661884556
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1229661885686
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229661888788
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229661889803
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229661890361
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229661893170
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229661897600
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229661898996
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229661900143
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229661900916
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.smartEnter,1229661904485
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1229661905736
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1229661906130
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1229661906668
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229661909332
