what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1247021506218
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021507320
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021539003
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021540815
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021548791
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1247021551207
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021564750
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021670464
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1247021672653
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1247021674192
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1247021683744
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021688179
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021705944
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1247021720968
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1247021721302
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1247021721670
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1247021727948
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021729435
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021784163
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021793192
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021796305
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021797856
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021812720
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1247021814014
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1247021814246
