what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021344026
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021355531
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021356499
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021357656
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021359800
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021361051
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021362153
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1247021366847
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1247021373416
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1247021374214
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1247021375507
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021375967
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021377351
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021378106
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021380000
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1247021384094
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1247021384422
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1247021387190
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1247021467657
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1247021467857
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021473855
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021479316
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021487852
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247021503295
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.textStart",1247021504815
