what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1247021976592
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1247021987051
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1247021994912
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1247021995637
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022019607
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022020164
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022044202
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022045200
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022060757
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022083047
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022094920
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022095411
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022096206
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022098723
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022104196
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022109303
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022112581
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022113568
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022114823
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022115627
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022116929
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022117646
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022120351
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022121225
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247022122672
