getpid(), current_time, number, utime, stime, ru_maxrss, ru_msgsnd, ru_msgrcv, ru_nvcsw, ru_nivcsw
19030, 1264542521.363951, 10113001, 0.155160, 0.001160, 192512, 21, 0, 1, 74
19028, 1264542521.363977, 0, 0.000733, 0.003327, 360448, 0, 60, 48, 11
19033, 1264542521.370357, 40059001, 0.144150, 0.000827, 192512, 9, 0, 1, 84
19033, 1264542521.372774, 40060001, 0.146557, 0.000839, 192512, 10, 0, 1, 84
19033, 1264542521.387332, 40065001, 0.158505, 0.000864, 192512, 11, 0, 1, 87
19030, 1264542521.389331, 10117001, 0.160693, 0.001178, 192512, 22, 0, 1, 76
19033, 1264542521.389943, 40066001, 0.161092, 0.000875, 192512, 12, 0, 1, 88
19028, 1264542521.389965, 0, 0.000753, 0.003378, 360448, 0, 65, 53, 11
19031, 1264542521.400276, 20092001, 0.169188, 0.001100, 192512, 12, 0, 1, 106
19031, 1264542521.405618, 20095001, 0.174523, 0.001122, 192512, 13, 0, 1, 107
19034, 1264542521.415121, 50059001, 0.158320, 0.000861, 192512, 7, 0, 1, 93
19030, 1264542521.415743, 10125001, 0.171632, 0.001235, 192512, 23, 0, 1, 83
19032, 1264542521.438945, 30072001, 0.156938, 0.000687, 192512, 10, 0, 1, 51
19028, 1264542521.438978, 0, 0.000775, 0.003436, 360448, 0, 70, 58, 11
19030, 1264542521.458529, 10140001, 0.192175, 0.001343, 192512, 24, 0, 1, 99
19031, 1264542521.464473, 20101001, 0.185551, 0.001170, 192512, 14, 0, 1, 112
19031, 1264542521.474637, 20106001, 0.194876, 0.001241, 192512, 15, 0, 1, 125
19034, 1264542521.483547, 50067001, 0.179571, 0.000963, 192512, 8, 0, 1, 97
19032, 1264542521.489433, 30081001, 0.176935, 0.000834, 192512, 11, 0, 1, 88
19028, 1264542521.489465, 0, 0.000804, 0.003510, 360448, 0, 75, 63, 11
19030, 1264542521.499848, 10146001, 0.200581, 0.001432, 192512, 25, 0, 1, 109
19030, 1264542521.501124, 10147001, 0.201850, 0.001440, 192512, 26, 0, 1, 109
19031, 1264542521.504938, 20116001, 0.212813, 0.001312, 192512, 16, 0, 1, 131
19034, 1264542521.511681, 50074001, 0.198674, 0.001023, 192512, 9, 0, 1, 105
19030, 1264542521.512752, 10149001, 0.204549, 0.001458, 192512, 27, 0, 1, 111
19028, 1264542521.512774, 0, 0.000825, 0.003561, 360448, 0, 80, 68, 11
19033, 1264542521.513550, 40084001, 0.205127, 0.001049, 192512, 13, 0, 1, 114
19033, 1264542521.518487, 40086001, 0.210033, 0.001065, 192512, 14, 0, 1, 116
19032, 1264542521.524219, 30084001, 0.183703, 0.000860, 192512, 12, 0, 1, 90
19030, 1264542521.532664, 10156001, 0.214225, 0.001475, 192512, 28, 0, 1, 112
19032, 1264542521.537380, 30090001, 0.196815, 0.000877, 192512, 13, 0, 1, 92
19028, 1264542521.537401, 0, 0.000845, 0.003609, 360448, 0, 85, 73, 11
19032, 1264542521.549557, 30091001, 0.198931, 0.000898, 192512, 14, 0, 1, 95
19030, 1264542521.561024, 10162001, 0.222575, 0.001488, 192512, 29, 0, 1, 113
19034, 1264542521.578898, 50082001, 0.220362, 0.001072, 192512, 10, 0, 1, 112
19031, 1264542521.589477, 20130001, 0.238413, 0.001353, 192512, 17, 0, 1, 135
19033, 1264542521.600831, 40098001, 0.240118, 0.001127, 192512, 15, 0, 1, 127
19028, 1264542521.600857, 0, 0.000865, 0.003663, 360448, 0, 90, 78, 11
19032, 1264542521.601863, 30099001, 0.215733, 0.000948, 192512, 15, 0, 1, 102
19033, 1264542521.603628, 40099001, 0.242802, 0.001152, 192512, 16, 0, 1, 130
19033, 1264542521.611212, 40102001, 0.250342, 0.001169, 192512, 17, 0, 1, 132
19031, 1264542521.615656, 20137001, 0.251189, 0.001381, 192512, 18, 0, 1, 137
19034, 1264542521.618863, 50089001, 0.238515, 0.001118, 192512, 11, 0, 1, 117
19028, 1264542521.618897, 0, 0.000887, 0.003763, 360448, 0, 95, 83, 11
19032, 1264542521.625055, 30103001, 0.224908, 0.001000, 192512, 16, 0, 1, 109
19030, 1264542521.641531, 10185001, 0.253773, 0.001553, 192512, 30, 0, 1, 124
19033, 1264542521.659260, 40105001, 0.257631, 0.001203, 192512, 18, 0, 1, 139
19030, 1264542521.661459, 10192001, 0.263084, 0.001614, 192512, 31, 0, 1, 129
19030, 1264542521.664248, 10194001, 0.265789, 0.001635, 192512, 32, 0, 1, 131
19028, 1264542521.664274, 0, 0.000914, 0.003832, 360448, 0, 100, 88, 11
19030, 1264542521.674281, 10197001, 0.269898, 0.001656, 192512, 33, 0, 1, 133
19032, 1264542521.675803, 30114001, 0.248363, 0.001192, 192512, 17, 0, 1, 134
19030, 1264542521.679818, 10201001, 0.275313, 0.001688, 192512, 34, 0, 1, 137
19030, 1264542521.682821, 10203001, 0.278151, 0.001732, 192512, 35, 0, 1, 143
19033, 1264542521.692221, 40108001, 0.264879, 0.001227, 192512, 19, 0, 1, 140
19028, 1264542521.692249, 0, 0.000935, 0.003884, 360448, 0, 105, 93, 11
19034, 1264542521.705976, 50101001, 0.271464, 0.001278, 192512, 12, 0, 1, 143
19030, 1264542521.716561, 10213001, 0.291691, 0.001769, 192512, 36, 0, 1, 148
19030, 1264542521.719374, 10215001, 0.294443, 0.001792, 192512, 37, 0, 1, 151
19034, 1264542521.724465, 50104001, 0.279821, 0.001303, 192512, 13, 0, 1, 146
19031, 1264542521.735781, 20160001, 0.293233, 0.001636, 192512, 19, 0, 1, 184
19028, 1264542521.735811, 0, 0.000956, 0.003935, 360448, 0, 110, 98, 11
19030, 1264542521.739179, 10222001, 0.303945, 0.001842, 192512, 38, 0, 1, 159
19032, 1264542521.741421, 30121001, 0.263710, 0.001219, 192512, 18, 0, 1, 136
19030, 1264542521.743529, 10225001, 0.308258, 0.001857, 192512, 39, 0, 1, 161
19032, 1264542521.745603, 30123001, 0.267885, 0.001227, 192512, 19, 0, 1, 136
19032, 1264542521.747717, 30124001, 0.269993, 0.001233, 192512, 20, 0, 1, 136
19028, 1264542521.747738, 0, 0.000975, 0.003980, 360448, 0, 115, 103, 11
19034, 1264542521.748534, 50109001, 0.293579, 0.001333, 192512, 14, 0, 1, 151
19033, 1264542521.752424, 40116001, 0.284858, 0.001253, 192512, 20, 0, 1, 142
19034, 1264542521.758811, 50113001, 0.303748, 0.001371, 192512, 15, 0, 1, 157
19031, 1264542521.767012, 20166001, 0.304345, 0.001655, 192512, 20, 0, 1, 185
19032, 1264542521.774267, 30127001, 0.276431, 0.001247, 192512, 21, 0, 1, 137
19028, 1264542521.774292, 0, 0.000995, 0.004030, 360448, 0, 120, 108, 11
19030, 1264542521.779172, 10236001, 0.323578, 0.001911, 192512, 40, 0, 1, 169
19034, 1264542521.784951, 50115001, 0.309520, 0.001394, 192512, 16, 0, 1, 160
19034, 1264542521.793262, 50118001, 0.317738, 0.001425, 192512, 17, 0, 1, 165
19031, 1264542521.808405, 20172001, 0.315603, 0.001671, 192512, 21, 0, 1, 186
19033, 1264542521.810055, 40123001, 0.302280, 0.001279, 192512, 21, 0, 1, 144
19028, 1264542521.810080, 0, 0.001016, 0.004084, 360448, 0, 125, 113, 11
19030, 1264542521.824376, 10254001, 0.348261, 0.002013, 192512, 41, 0, 1, 185
19032, 1264542521.828887, 30138001, 0.300872, 0.001270, 192512, 22, 0, 1, 139
19030, 1264542521.835842, 10255001, 0.349662, 0.002033, 192512, 42, 0, 1, 187
19033, 1264542521.843405, 40128001, 0.314391, 0.001323, 192512, 22, 0, 1, 150
19030, 1264542521.845039, 10261001, 0.357991, 0.002090, 192512, 43, 0, 1, 197
19028, 1264542521.845064, 0, 0.001037, 0.004138, 360448, 0, 130, 118, 11
19031, 1264542521.852472, 20179001, 0.328650, 0.001705, 192512, 22, 0, 1, 190
19034, 1264542521.870797, 50131001, 0.353870, 0.001538, 192512, 18, 0, 1, 184
19030, 1264542521.876736, 10269001, 0.369269, 0.002120, 192512, 44, 0, 1, 201
19033, 1264542521.877541, 40134001, 0.328676, 0.001349, 192512, 23, 0, 1, 151
19030, 1264542521.880818, 10272001, 0.373211, 0.002155, 192512, 45, 0, 1, 206
19028, 1264542521.880894, 0, 0.001059, 0.004237, 360448, 0, 135, 123, 11
19031, 1264542521.889201, 20188001, 0.345123, 0.001722, 192512, 23, 0, 1, 191
19030, 1264542521.900969, 10279001, 0.382938, 0.002210, 192512, 46, 0, 1, 214
19030, 1264542521.905038, 10282001, 0.386919, 0.002244, 192512, 47, 0, 1, 218
19031, 1264542521.918521, 20193001, 0.354289, 0.001739, 192512, 24, 0, 1, 192
19030, 1264542521.918885, 10287001, 0.393764, 0.002306, 192512, 48, 0, 1, 227
19028, 1264542521.918911, 0, 0.001080, 0.004293, 360448, 0, 140, 128, 11
19034, 1264542521.927595, 50140001, 0.378166, 0.001612, 192512, 19, 0, 1, 195
19030, 1264542521.943744, 10294001, 0.403427, 0.002378, 192512, 49, 0, 1, 238
