Overall totals by port
TOTAL        bytes:    376734980  pkts:    1829725  conns:    98686  tput:      102 B/s
Port  1065   bytes:        10961  pkts:         92  conns:       10  tput:        0 B/s
Port  1066   bytes:        13146  pkts:        121  conns:       13  tput:        0 B/s
Port  1067   bytes:        48479  pkts:        207  conns:       11  tput:        0 B/s
Port  1068   bytes:        17400  pkts:        135  conns:       14  tput:        0 B/s
Port  1069   bytes:        13437  pkts:        104  conns:       13  tput:        0 B/s
Port  1070   bytes:        41371  pkts:        169  conns:       12  tput:        0 B/s
Port  1071   bytes:        34420  pkts:        186  conns:       18  tput:        0 B/s
Port  1072   bytes:        80680  pkts:        211  conns:       12  tput:        0 B/s
Port  1073   bytes:        16859  pkts:        110  conns:       12  tput:        0 B/s
Port  1074   bytes:        40940  pkts:        208  conns:       15  tput:        0 B/s
Port  1075   bytes:        33816  pkts:        208  conns:       17  tput:        0 B/s
Port  1076   bytes:        17834  pkts:        123  conns:       11  tput:        0 B/s
Port  1077   bytes:        36345  pkts:        234  conns:       17  tput:        0 B/s
Port  1078   bytes:        51467  pkts:        144  conns:       13  tput:        0 B/s
Port  1079   bytes:        24602  pkts:        107  conns:       12  tput:        0 B/s
Port  1080   bytes:        49825  pkts:        250  conns:       25  tput:        0 B/s
Port  1081   bytes:        23450  pkts:        111  conns:       12  tput:        0 B/s
Port  1082   bytes:        14016  pkts:         59  conns:        6  tput:        0 B/s
Port  1083   bytes:        58854  pkts:        193  conns:       13  tput:        0 B/s
Port  1084   bytes:        76865  pkts:        647  conns:       18  tput:        0 B/s
Port  1085   bytes:        22349  pkts:        170  conns:       18  tput:        0 B/s
Port  1086   bytes:        15349  pkts:        115  conns:       13  tput:        0 B/s
Port  1087   bytes:        24450  pkts:        180  conns:       17  tput:        0 B/s
Port  1088   bytes:         8331  pkts:         49  conns:        5  tput:        0 B/s
Port  1089   bytes:        36512  pkts:        181  conns:       13  tput:        0 B/s
Port  1090   bytes:        22108  pkts:        150  conns:       12  tput:        0 B/s
Port  1091   bytes:        12910  pkts:        116  conns:       13  tput:        0 B/s
Port  1092   bytes:         6839  pkts:         76  conns:       10  tput:        0 B/s
Port  1093   bytes:        12563  pkts:        103  conns:       11  tput:        0 B/s
Port  1094   bytes:         2348  pkts:         21  conns:        4  tput:        0 B/s
Port  1095   bytes:        10714  pkts:         80  conns:        8  tput:        0 B/s
Port  1096   bytes:        25013  pkts:        139  conns:       12  tput:        0 B/s
Port  1097   bytes:        16257  pkts:        155  conns:       17  tput:        0 B/s
Port  1098   bytes:        11138  pkts:         99  conns:       11  tput:        0 B/s
Port  1099   bytes:        37180  pkts:        149  conns:       13  tput:        0 B/s
Port  1100   bytes:        11776  pkts:         85  conns:        9  tput:        0 B/s
Port  1101   bytes:        33255  pkts:        195  conns:       13  tput:        0 B/s
Port  1102   bytes:        54118  pkts:        230  conns:       20  tput:        0 B/s
Port  1103   bytes:        18994  pkts:        130  conns:       11  tput:        0 B/s
Port  1104   bytes:        25700  pkts:        160  conns:       14  tput:        0 B/s
Port  1105   bytes:        11747  pkts:        125  conns:       15  tput:        0 B/s
Port  1106   bytes:        19693  pkts:        168  conns:       16  tput:        0 B/s
Port  1107   bytes:        12213  pkts:        119  conns:       15  tput:        0 B/s
Port  1108   bytes:        16319  pkts:        129  conns:       14  tput:        0 B/s
Port  1109   bytes:        55363  pkts:        200  conns:       12  tput:        0 B/s
Port  1110   bytes:       105795  pkts:        236  conns:       10  tput:        0 B/s
Port  1111   bytes:         9564  pkts:         79  conns:        9  tput:        0 B/s
Port  1112   bytes:        89276  pkts:        338  conns:       23  tput:        0 B/s
Port  1113   bytes:        94959  pkts:        236  conns:       10  tput:        0 B/s
Port  1114   bytes:        54138  pkts:        255  conns:       16  tput:        0 B/s
Port  1115   bytes:        18862  pkts:        126  conns:       11  tput:        0 B/s
Port  1116   bytes:        23215  pkts:        156  conns:       14  tput:        0 B/s
Port  1117   bytes:         3702  pkts:         42  conns:        9  tput:        0 B/s
Port  1118   bytes:        16115  pkts:        119  conns:       11  tput:        0 B/s
Port  1119   bytes:        20012  pkts:        144  conns:       16  tput:        0 B/s
Port  1120   bytes:        15857  pkts:        127  conns:       14  tput:        0 B/s
Port  1121   bytes:        62233  pkts:        213  conns:       12  tput:        0 B/s
Port  1122   bytes:        18202  pkts:        145  conns:       15  tput:        0 B/s
Port  1123   bytes:        16973  pkts:         78  conns:       10  tput:        0 B/s
Port  1124   bytes:        15512  pkts:        100  conns:       12  tput:        0 B/s
Port  1125   bytes:         8208  pkts:         73  conns:        9  tput:        0 B/s
Port  1126   bytes:        13423  pkts:        116  conns:       13  tput:        0 B/s
Port  1127   bytes:        41864  pkts:        212  conns:       14  tput:        0 B/s
Port  1128   bytes:        15999  pkts:        109  conns:       10  tput:        0 B/s
Port  1129   bytes:        11716  pkts:        105  conns:       11  tput:        0 B/s
Port  1130   bytes:        64835  pkts:        964  conns:      141  tput:        0 B/s
Port  1131   bytes:        22448  pkts:        149  conns:       12  tput:        0 B/s
Port  1132   bytes:        30609  pkts:        222  conns:       22  tput:        0 B/s
Port  1133   bytes:        19076  pkts:        161  conns:       17  tput:        0 B/s
Port  1134   bytes:        11165  pkts:         93  conns:       11  tput:        0 B/s
Port  1135   bytes:        38155  pkts:        237  conns:       16  tput:        0 B/s
Port  1136   bytes:         8878  pkts:        106  conns:       15  tput:        0 B/s
Port  1137   bytes:        76709  pkts:        197  conns:       10  tput:        0 B/s
Port  1138   bytes:       137702  pkts:        333  conns:       17  tput:        0 B/s
Port  1139   bytes:        40215  pkts:        208  conns:       16  tput:        0 B/s
Port  1140   bytes:         6553  pkts:         60  conns:        9  tput:        0 B/s
Port  1141   bytes:        11260  pkts:        113  conns:       15  tput:        0 B/s
Port  1142   bytes:       112853  pkts:        245  conns:       13  tput:        0 B/s
Port  1143   bytes:        40676  pkts:        171  conns:       15  tput:        0 B/s
Port  1144   bytes:        38676  pkts:        241  conns:       18  tput:        0 B/s
Port  1145   bytes:        48986  pkts:        205  conns:       17  tput:        0 B/s
Port  1146   bytes:        32997  pkts:        243  conns:       21  tput:        0 B/s
Port  1147   bytes:        24300  pkts:        172  conns:       17  tput:        0 B/s
Port  1148   bytes:        41730  pkts:        117  conns:       11  tput:        0 B/s
Port  1149   bytes:        10517  pkts:         86  conns:        9  tput:        0 B/s
Port  1150   bytes:        16328  pkts:        151  conns:       16  tput:        0 B/s
Port  1151   bytes:        11404  pkts:        125  conns:       14  tput:        0 B/s
Port  1152   bytes:        23770  pkts:        162  conns:       12  tput:        0 B/s
Port  1153   bytes:        11648  pkts:         95  conns:       10  tput:        0 B/s
Port  1154   bytes:         9757  pkts:         80  conns:       10  tput:        0 B/s
Port  1155   bytes:        32983  pkts:        239  conns:       18  tput:        0 B/s
Port  1156   bytes:        25313  pkts:        188  conns:       19  tput:        0 B/s
Port  1157   bytes:        23891  pkts:        180  conns:       17  tput:        0 B/s
Port  1158   bytes:         7388  pkts:         69  conns:       10  tput:        0 B/s
Port  1159   bytes:        23213  pkts:        146  conns:       16  tput:        0 B/s
Port  1160   bytes:        18307  pkts:        140  conns:       13  tput:        0 B/s
Port  1161   bytes:        26651  pkts:        146  conns:       13  tput:        0 B/s
Port  1162   bytes:         3512  pkts:         39  conns:        8  tput:        0 B/s
Port  1163   bytes:        28143  pkts:        184  conns:       14  tput:        0 B/s
Port  1164   bytes:        36969  pkts:        254  conns:       20  tput:        0 B/s
Port  1165   bytes:        22083  pkts:        163  conns:       15  tput:        0 B/s
Port  1166   bytes:        19392  pkts:        158  conns:       15  tput:        0 B/s
Port  1167   bytes:        47230  pkts:        135  conns:       10  tput:        0 B/s
Port  1168   bytes:        64113  pkts:        237  conns:       17  tput:        0 B/s
Port  1169   bytes:        47998  pkts:        363  conns:       17  tput:        0 B/s
Port  1170   bytes:        29840  pkts:        181  conns:       16  tput:        0 B/s
Port  1171   bytes:        22305  pkts:        177  conns:       17  tput:        0 B/s
Port  1172   bytes:        31988  pkts:        225  conns:       18  tput:        0 B/s
Port  1173   bytes:        13824  pkts:         93  conns:       11  tput:        0 B/s
